Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1515969341000,b4:e9:b0:b2:0f:c0,-83,SJSU_premier,-121.88285323,37.33669748,55,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969341000,b4:e9:b0:b2:0f:c1,-82,eduroam,-121.88285323,37.33669748,55,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969299000,b4:e9:b0:b2:0f:c2,-87,SJSU_Guest,-121.885344,37.33831421,28,[ESS][BLE],,112462
1515969341000,b4:e9:b0:b2:0f:c3,-83,SJSU_MyDevice,-121.88285323,37.33669748,55,[ESS][P2P][BLE],,112462
1515969338000,b4:e9:b0:b2:0f:c4,-88,SJSU_MyDevice,-121.88462994,37.33815514,100,[ESS][P2P][BLE],,-5180
1515969338000,b4:e9:b0:b2:0f:c5,-87,SJSU_Guest,-121.88462994,37.33815514,100,[ESS][BLE],,-5180
1515969338000,b4:e9:b0:b2:0f:c6,-88,eduroam,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969338000,b4:e9:b0:b2:0f:c7,-88,SJSU_premier,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969341000,b4:e9:b0:b2:0f:cc,-87,SJSU_MyDevice,-121.88285323,37.33669748,55,[ESS][P2P][BLE],,-5180
1515969338000,b4:e9:b0:b2:0f:cd,-87,SJSU_Guest,-121.88462994,37.33815514,100,[ESS][BLE],,-5180
1515969338000,b4:e9:b0:b2:0f:cf,-86,SJSU_premier,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969332000,b4:e9:b0:b2:2a:a3,-85,SJSU_MyDevice,-121.88526178,37.33816745,76,[ESS][P2P][BLE],,62437
1515969329000,b4:e9:b0:b2:2a:ac,-89,SJSU_MyDevice,-121.88533861,37.33817558,76,[ESS][P2P][BLE],,-5220
1515969332000,b4:e9:b0:b2:2a:ad,-89,SJSU_Guest,-121.88526178,37.33816745,76,[ESS][BLE],,-5220
1515969335000,b4:e9:b0:b4:bb:10,-63,SJSU_premier,-121.88487729,37.33817115,93,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969335000,b4:e9:b0:b4:bb:11,-62,eduroam,-121.88487729,37.33817115,93,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969335000,b4:e9:b0:b4:bb:12,-63,SJSU_Guest,-121.88487729,37.33817115,93,[ESS][BLE],,62437
1515969335000,b4:e9:b0:b4:bb:13,-63,SJSU_MyDevice,-121.88487729,37.33817115,93,[ESS][P2P][BLE],,62437
1515969338000,b4:e9:b0:b4:bb:14,-71,SJSU_MyDevice,-121.88462994,37.33815514,100,[ESS][P2P][BLE],,-5200
1515969338000,b4:e9:b0:b4:bb:15,-71,SJSU_Guest,-121.88462994,37.33815514,100,[ESS][BLE],,-5200
1515969335000,b4:e9:b0:b4:bb:16,-71,eduroam,-121.88487729,37.33817115,93,[WPA2-EAP-CCMP][ESS][BLE],,-5200
1515969335000,b4:e9:b0:b4:bb:17,-71,SJSU_premier,-121.88487729,37.33817115,93,[WPA2-EAP-CCMP][ESS][BLE],,-5200
1515969341000,b4:e9:b0:b4:bb:1c,-65,SJSU_MyDevice,-121.88285323,37.33669748,55,[ESS][P2P][BLE],,-5200
1515969338000,b4:e9:b0:b4:bb:1d,-65,SJSU_Guest,-121.88462994,37.33815514,100,[ESS][BLE],,-5200
1515969341000,b4:e9:b0:b4:bb:1e,-61,eduroam,-121.88285323,37.33669748,55,[WPA2-EAP-CCMP][ESS][BLE],,-5200
1515969338000,b4:e9:b0:b4:bb:1f,-65,SJSU_premier,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5200
1515969382000,b4:e9:b0:b4:d9:0c,-86,SJSU_MyDevice,-121.88163765,37.3368942,9,[ESS][P2P][BLE],,-5260
1515969382000,b4:e9:b0:b4:d9:0e,-86,eduroam,-121.88163765,37.3368942,9,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969382000,b4:e9:b0:b4:d9:0f,-86,SJSU_premier,-121.88163765,37.3368942,9,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969397000,b4:e9:b0:b4:df:1e,-78,eduroam,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,-5300
1515969297000,b4:e9:b0:b4:e7:d0,-81,SJSU_premier,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969297000,b4:e9:b0:b4:e7:d1,-79,eduroam,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969382000,b4:e9:b0:b4:e7:d2,-75,SJSU_Guest,-121.88163765,37.3368942,9,[ESS][BLE],,62437
1515969297000,b4:e9:b0:b4:e7:d3,-80,SJSU_MyDevice,-121.88527248,37.33840275,31,[ESS][P2P][BLE],,62437
1515969299000,b4:e9:b0:b4:e7:dc,-72,SJSU_MyDevice,-121.885344,37.33831421,28,[ESS][P2P][BLE],,-5260
1515969299000,b4:e9:b0:b4:e7:dd,-72,SJSU_Guest,-121.885344,37.33831421,28,[ESS][BLE],,-5260
1515969341000,b4:e9:b0:b4:e7:de,-72,eduroam,-121.88285323,37.33669748,55,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969299000,b4:e9:b0:b4:e7:df,-72,SJSU_premier,-121.885344,37.33831421,28,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969329000,b4:e9:b0:b4:e8:50,-53,SJSU_premier,-121.88533861,37.33817558,76,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969329000,b4:e9:b0:b4:e8:52,-53,SJSU_Guest,-121.88533861,37.33817558,76,[ESS][BLE],,112462
1515969329000,b4:e9:b0:b4:e8:53,-52,SJSU_MyDevice,-121.88533861,37.33817558,76,[ESS][P2P][BLE],,112462
1515969320000,b4:e9:b0:b4:e8:5c,-60,SJSU_MyDevice,-121.88536848,37.3382003,53,[ESS][P2P][BLE],,-5500
1515969320000,b4:e9:b0:b4:e8:5d,-60,SJSU_Guest,-121.88536848,37.3382003,53,[ESS][BLE],,-5500
1515969320000,b4:e9:b0:b4:e8:5e,-60,eduroam,-121.88536848,37.3382003,53,[WPA2-EAP-CCMP][ESS][BLE],,-5500
1515969329000,b4:e9:b0:b4:e8:5f,-59,SJSU_premier,-121.88533861,37.33817558,76,[WPA2-EAP-CCMP][ESS][BLE],,-5500
1515969397000,b4:e9:b0:b4:eb:30,-80,SJSU_premier,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969399000,b4:e9:b0:b4:eb:32,-75,SJSU_Guest,-121.88167439,37.33676861,5,[ESS][BLE],,12412
1515969391000,b4:e9:b0:b4:eb:3f,-76,SJSU_premier,-121.88163839,37.33683652,5,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969297000,b4:e9:b0:ef:19:9c,-88,SJSU_MyDevice,-121.88527248,37.33840275,31,[ESS][P2P][BLE],,-5540
1515969297000,b4:e9:b0:ef:19:9d,-88,SJSU_Guest,-121.88527248,37.33840275,31,[ESS][BLE],,-5540
